MasterSite,SiteName,FriendlySiteName,Genus,Species,SPEC,SurveyDate,Primary,Secondary,SecNumConsec,Captures,Model,Reason
Blackrock,Swan Pond,SP,Anaxyrus,boreas,ANBO,5/31/18,1,4,4,1,1,
Blackrock,Swan Pond,SP,Anaxyrus,boreas,ANBO,5/14/19,,,5,0,1,
Blackrock,Swan Pond,SP,Anaxyrus,boreas,ANBO,5/9/20,1,1,6,1,1,
Blackrock,Swan Pond,SP,Anaxyrus,boreas,ANBO,5/21/20,1,2,7,1,1,
Blackrock,Swan Pond,SP,Anaxyrus,boreas,ANBO,5/25/21,1,1,8,1,1,
Blackrock,Swan Pond,SP,Anaxyrus,boreas,ANBO,5/28/21,1,2,9,1,1,
Blackrock,Swan Pond,SP,Anaxyrus,boreas,ANBO,5/26/22,1,1,10,1,1,
Blackrock,Swan Pond,SP,Anaxyrus,boreas,ANBO,6/2/22,1,2,11,1,1,
Blackrock,Swan Pond,SP,Anaxyrus,boreas,ANBO,6/7/22,1,3,12,1,1,
BoulderCreek,Boulder Creek 1,BC1,Taricha,torosa,TATO,6/6/18,1,1,1,1,0,lack of data
BoulderCreek,Boulder Creek 1,BC1,Taricha,torosa,TATO,6/7/18,1,2,2,1,0,lack of data
BoulderCreek,Boulder Creek 2,BC2,Taricha,torosa,TATO,6/5/19,1,1,1,1,0,lack of data
BoulderCreek,Boulder Creek 2,BC2,Taricha,torosa,TATO,6/6/19,1,2,2,1,0,lack of data
BoulderCreek,Boulder Creek 2,BC2,Taricha,torosa,TATO,6/7/19,1,3,3,1,0,lack of data
BoulderCreek,Boulder Creek 2,BC2,Taricha,torosa,TATO,7/15/19,2,1,4,1,0,lack of data
BoulderCreek,Boulder Creek 2,BC2,Taricha,torosa,TATO,7/16/19,2,2,5,1,0,lack of data
BoulderCreek,Boulder Creek 2,BC2,Taricha,torosa,TATO,7/17/19,2,3,6,1,0,lack of data
BoulderCreek,Boulder Creek 3,BC3,Taricha,torosa,TATO,6/5/19,1,1,1,1,0,lack of data
BoulderCreek,Boulder Creek 3,BC3,Taricha,torosa,TATO,6/6/19,1,2,2,1,0,lack of data
BoulderCreek,Boulder Creek 3,BC3,Taricha,torosa,TATO,6/7/19,1,3,3,1,0,lack of data
BoulderCreek,Boulder Creek 3,BC3,Taricha,torosa,TATO,7/16/19,2,2,4,1,0,lack of data
BrushyCreek,Brushy Creek,NBEY-99,Necturus,beyeri,NEBE,3/8/18,1,1,1,1,0,lack of data
BrushyCreek,Brushy Creek,NBEY-99,Necturus,beyeri,NEBE,3/12/18,1,2,2,1,0,lack of data
BrushyCreek,Brushy Creek,NBEY-99,Necturus,beyeri,NEBE,3/15/18,1,3,3,1,0,lack of data
BrushyCreek,Brushy Creek,NBEY-99,Necturus,beyeri,NEBE,5/8/18,2,2,4,1,0,lack of data
BrushyCreek,Brushy Creek,NBEY-99,Necturus,beyeri,NEBE,3/1/19,3,1,5,1,0,lack of data
BrushyCreek,Brushy Creek,NBEY-99,Necturus,beyeri,NEBE,3/6/19,3,2,6,1,0,lack of data
BrushyCreek,Brushy Creek,NBEY-99,Necturus,beyeri,NEBE,3/11/19,3,3,7,1,0,lack of data
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,8/7/18,1,1,1,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,8/8/18,1,2,2,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,8/9/18,1,3,3,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,10/2/18,2,1,4,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,10/3/18,2,2,5,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,10/4/18,2,3,6,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,8/7/19,1,1,7,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,8/8/19,1,2,8,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,8/9/19,1,3,9,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,9/17/19,2,1,10,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,9/18/19,2,2,11,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,9/19/19,2,3,12,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,8/4/20,1,1,13,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,8/5/20,,,14,0,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,8/6/20,1,3,15,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,9/22/20,2,1,16,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,9/23/20,2,2,17,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,9/24/20,2,3,18,1,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,7/27/21,,,19,0,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,7/28/21,,,20,0,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,7/29/21,,,21,0,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,9/14/21,,,22,0,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,9/15/21,,,23,0,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,9/16/21,,,24,0,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,7/26/22,,,25,0,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,7/27/22,,,26,0,1,
DilmanMeadows,East Excavation,4,Rana,pretiosa,RAPR,7/28/22,,,27,0,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,8/7/18,1,1,1,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,8/8/18,1,2,2,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,8/9/18,1,3,3,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,10/2/18,2,1,4,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,10/3/18,2,2,5,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,10/4/18,2,3,6,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,8/7/19,1,1,7,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,8/8/19,1,2,8,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,8/9/19,1,3,9,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,9/17/19,2,1,10,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,9/18/19,2,2,11,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,9/19/19,2,3,12,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,8/4/20,1,1,13,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,8/5/20,1,2,14,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,8/6/20,1,3,15,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,9/22/20,2,1,16,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,9/23/20,2,2,17,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,9/24/20,2,3,18,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,7/27/21,1,1,19,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,7/28/21,1,2,20,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,7/29/21,1,3,21,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,9/14/21,2,1,22,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,9/15/21,2,2,23,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,9/16/21,2,3,24,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,7/26/22,1,1,25,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,7/27/22,1,2,26,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,7/28/22,1,3,27,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,8/30/22,2,1,28,1,1,
DilmanMeadows,Pond 1,5,Rana,pretiosa,RAPR,8/31/22,2,2,29,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,8/7/18,1,1,1,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,8/8/18,1,2,2,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,8/9/18,1,3,3,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,10/2/18,2,1,4,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,10/3/18,2,2,5,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,10/4/18,2,3,6,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,8/7/19,1,1,7,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,8/8/19,,,8,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,8/9/19,1,3,9,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,9/17/19,,,10,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,9/18/19,2,2,11,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,9/19/19,2,3,12,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,8/4/20,1,1,13,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,8/5/20,1,2,14,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,8/6/20,1,3,15,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,9/22/20,2,1,16,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,9/23/20,2,2,17,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,9/24/20,2,3,18,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,7/27/21,1,1,19,1,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,7/28/21,,,20,0,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,7/29/21,,,21,0,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,7/26/22,,,22,0,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,7/27/22,,,23,0,1,
DilmanMeadows,Pond 6,6,Rana,pretiosa,RAPR,7/28/22,,,24,0,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,8/7/18,,,1,0,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,8/8/18,1,2,2,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,8/9/18,,,3,0,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,10/2/18,2,1,4,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,10/3/18,,,5,0,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,10/4/18,2,3,6,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,8/7/19,1,1,7,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,8/8/19,1,2,8,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,8/9/19,,,9,0,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,9/17/19,2,1,10,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,9/18/19,2,2,11,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,9/19/19,2,3,12,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,7/27/21,1,1,13,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,7/28/21,1,2,14,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,7/29/21,1,3,15,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,9/14/21,2,1,16,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,9/15/21,2,2,17,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,9/16/21,,,18,0,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,7/26/22,1,1,19,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,7/27/22,1,2,20,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,7/28/22,,,21,0,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,8/30/22,2,1,22,1,1,
DilmanMeadows,Pond 7,7,Rana,pretiosa,RAPR,8/31/22,2,2,23,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,6/18/18,1,1,1,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,6/19/18,1,2,2,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,6/20/18,1,3,3,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,6/21/18,1,4,4,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,6/22/18,1,5,5,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/16/18,2,1,6,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/17/18,2,2,7,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/18/18,2,3,8,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/19/18,2,4,9,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/20/18,2,5,10,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/15/19,1,1,11,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/16/19,1,2,12,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/17/19,1,3,13,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/18/19,1,4,14,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/19/19,1,5,15,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/19/19,2,1,16,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/20/19,2,2,17,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/21/19,2,3,18,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/22/19,2,4,19,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/23/19,2,5,20,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,6/22/20,1,1,21,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,6/23/20,1,2,22,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,6/24/20,1,3,23,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,6/25/20,1,4,24,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,6/26/20,1,5,25,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/3/20,2,1,26,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/4/20,2,2,27,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/5/20,2,3,28,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/6/20,2,4,29,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/7/20,2,5,30,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,6/28/21,1,1,31,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,6/29/21,1,2,32,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,6/30/21,1,3,33,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/1/21,1,4,34,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/2/21,1,5,35,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/2/21,2,1,36,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/3/21,2,2,37,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/4/21,2,3,38,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/5/21,2,4,39,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,8/6/21,2,5,40,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/25/22,1,1,41,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/26/22,1,2,42,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/27/22,1,3,43,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/28/22,1,4,44,1,1,
FoxCreek,P-850A,P-850A,Rana,boylii,RABO,7/29/22,1,5,45,1,1,
FoxCreek,P-850B/C,P-850B/C,Rana,boylii,RABO,6/18/18,1,1,1,0,1,
FoxCreek,P-850B/C,P-850B/C,Rana,boylii,RABO,6/19/18,1,2,2,1,1,
FoxCreek,P-850B/C,P-850B/C,Rana,boylii,RABO,6/20/18,1,3,3,1,1,
FoxCreek,P-850B/C,P-850B/C,Rana,boylii,RABO,6/21/18,1,4,4,1,1,
FoxCreek,P-850B/C,P-850B/C,Rana,boylii,RABO,6/22/18,1,5,5,1,1,
FoxCreek,P-850B/C,P-850B/C,Rana,boylii,RABO,7/16/18,2,1,6,1,1,
FoxCreek,P-850B/C,P-850B/C,Rana,boylii,RABO,7/17/18,2,2,7,1,1,
FoxCreek,P-850B/C,P-850B/C,Rana,boylii,RABO,7/18/18,2,3,8,1,1,
FoxCreek,P-850B/C,P-850B/C,Rana,boylii,RABO,7/19/18,2,4,9,1,1,
FoxCreek,P-850B/C,P-850B/C,Rana,boylii,RABO,7/20/18,2,5,10,1,1,
FoxCreek,P-850B/C,P-850B/C,Rana,boylii,RABO,7/16/19,1,2,11,1,1,
FoxCreek,P-850B/C,P-850B/C,Rana,boylii,RABO,7/17/19,1,3,12,1,1,
FoxCreek,P-850B/C,P-850B/C,Rana,boylii,RABO,7/18/19,1,4,13,1,1,
FoxCreek,P-850B/C,P-850B/C,Rana,boylii,RABO,7/19/19,1,5,14,1,1,
